Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,-1,Skipped,2
Basic Problem B-02,-1,Skipped,5
Basic Problem B-03,-1,Skipped,1
Basic Problem B-04,-1,Skipped,3
Basic Problem B-05,-1,Skipped,4
Basic Problem B-06,-1,Skipped,5
Basic Problem B-07,-1,Skipped,6
Basic Problem B-08,-1,Skipped,6
Basic Problem B-09,-1,Skipped,5
Basic Problem B-10,-1,Skipped,3
Basic Problem B-11,-1,Skipped,1
Basic Problem B-12,-1,Skipped,1
Basic Problem C-01,-1,Skipped,3
Basic Problem C-02,-1,Skipped,4
Basic Problem C-03,-1,Skipped,4
Basic Problem C-04,-1,Skipped,8
Basic Problem C-05,-1,Skipped,3
Basic Problem C-06,-1,Skipped,7
Basic Problem C-07,-1,Skipped,2
Basic Problem C-08,-1,Skipped,5
Basic Problem C-09,-1,Skipped,2
Basic Problem C-10,-1,Skipped,7
Basic Problem C-11,-1,Skipped,4
Basic Problem C-12,-1,Skipped,8
Challenge Problem B-01,-1,Skipped,6
Challenge Problem B-02,-1,Skipped,1
Challenge Problem B-03,-1,Skipped,3
Challenge Problem B-04,-1,Skipped,4
Challenge Problem B-05,-1,Skipped,6
Challenge Problem B-06,-1,Skipped,3
Challenge Problem B-07,-1,Skipped,6
Challenge Problem B-08,-1,Skipped,4
Challenge Problem B-09,-1,Skipped,4
Challenge Problem B-10,-1,Skipped,4
Challenge Problem B-11,-1,Skipped,5
Challenge Problem B-12,-1,Skipped,1
Challenge Problem C-01,-1,Skipped,7
Challenge Problem C-02,-1,Skipped,7
Challenge Problem C-03,-1,Skipped,3
Challenge Problem C-04,-1,Skipped,8
Challenge Problem C-05,-1,Skipped,4
Challenge Problem C-06,-1,Skipped,7
Challenge Problem C-07,-1,Skipped,3
Challenge Problem C-08,-1,Skipped,1
Challenge Problem C-09,-1,Skipped,7
Challenge Problem C-10,-1,Skipped,3
Challenge Problem C-11,-1,Skipped,4
Challenge Problem C-12,-1,Skipped,2
